Geneid	gene_name	Fast_A3_1Aligned.sortedByCoord.out.bam	OF_A7_1Aligned.sortedByCoord.out.bam	s_3DPF_C4_1Aligned.sortedByCoord.out.bam	OFF_A10_1Aligned.sortedByCoord.out.bam	Fast_A6_1Aligned.sortedByCoord.out.bam	OFF_A13_1Aligned.sortedByCoord.out.bam	OF_A8_1Aligned.sortedByCoord.out.bam	s_3DPF_A4_1Aligned.sortedByCoord.out.bam
LOC112540639	NA	148	314	291	226	152	288	337	317
GMPPA	NA	363	1130	649	616	497	529	938	747
LOC103048727	NA	3	7	7	3	3	6	2	2
SPEG	NA	14320	16887	17132	18450	17053	21224	17370	19563
DES	NA	54330	184333	185582	71349	67927	84240	188924	184966
DNPEP	NA	1912	2875	2730	2678	2689	2625	2927	2746
PTPRN	NA	41	141	151	63	79	93	157	212
DNAJB2	NA	1046	2092	1487	1587	1508	1615	1739	1497
LOC103050266	NA	2	0	1	0	1	2	0	1
LOC112540154	NA	0	0	0	0	0	0	0	0
LOC112540169	NA	0	2	0	0	1	0	0	0
LOC103057460	NA	3	0	0	0	0	0	0	0
LOC103050512	NA	1289	2079	3069	2521	1570	2172	1954	3025
STK16	NA	118	206	162	146	166	152	218	156
GLB1L	NA	471	1099	874	705	677	726	1811	883
ANKZF1	NA	317	224	408	460	401	540	527	458
ATG9A	NA	1279	1465	1147	1857	1689	2178	1422	1096
ABCB6	NA	586	381	360	591	817	759	344	420
LOC112540190	NA	1	0	2	0	1	0	0	1
ZFAND2B	NA	453	418	357	606	582	611	411	305
TTLL4	NA	96	228	203	150	141	134	243	163
PRKAG3	NA	59	157	136	157	95	146	176	147
LOC103057949	NA	1	0	0	0	0	0	0	0
LOC103054208	NA	521	1143	990	852	680	793	1038	918
WNT6	NA	15	37	41	16	45	16	27	49
WNT10A	NA	0	0	0	0	2	0	1	0
CDK5R2	NA	0	5	2	2	0	0	0	4
FEV	NA	7	24	10	7	9	0	7	16
CRYBA2	NA	21	398	167	37	33	57	349	199
CFAP65	NA	2	0	0	0	1	0	2	0
IHH	NA	4	16	15	21	9	10	30	19
NHEJ1	NA	145	456	264	212	168	207	345	292
SLC23A3	NA	4	9	11	20	14	15	23	11
CNPPD1	NA	877	1019	774	973	1198	1051	903	789
RETREG2	NA	1296	1401	1285	1834	1728	1926	1584	1313
STK36	NA	12	26	18	29	53	43	30	17
RNF25	NA	250	101	140	292	295	374	176	162
TTYH2	NA	101	220	288	231	120	201	337	413
DNAI2	NA	1	1	1	0	0	0	1	0
KIF19	NA	1	0	0	1	0	0	0	0
BTBD17	NA	0	1	1	0	0	1	0	0
GPR142	NA	0	1	0	1	0	0	0	0
GPRC5C	NA	960	1634	1308	1248	1266	1231	1479	1582
CCDC137	NA	514	320	644	629	707	681	564	684
OXLD1	NA	108	174	152	136	89	115	148	184
PDE6G	NA	17	26	13	17	5	12	47	3
TSPAN10	NA	42	137	53	109	63	80	136	75
NPLOC4	NA	260	701	475	462	310	388	522	470
LOC112540375	NA	0	0	0	1	1	0	0	0
FAAP100	NA	299	399	377	532	434	507	383	379
FSCN2	NA	599	905	481	634	456	703	592	532
ACTG1	NA	32770	62755	54244	53347	42498	48025	46976	50511
LOC112540254	NA	5	0	11	8	8	5	11	7
BAHCC1	NA	1008	1267	972	1663	1127	1769	1313	1096
SLC38A10	NA	145	409	302	217	100	209	381	317
NDUFAF8	NA	678	1027	1081	1046	762	1088	1275	1012
TEPSIN	NA	154	179	205	224	188	289	212	195
CEP131	NA	680	460	799	1286	1095	1521	857	793
PVALEF	NA	0	3	0	0	0	0	0	0
AATK	NA	28	11	40	51	53	98	47	30
BAIAP2	NA	34	143	103	67	46	302	110	160
LOC103067582	NA	345	211	437	388	282	440	452	385
CHD6	NA	1059	932	1488	1249	1096	1343	1312	1566
RBL1	NA	567	397	774	864	868	927	929	884
SAMHD1	NA	145	202	210	364	196	248	319	184
TLDC2	NA	2	3	11	9	6	6	3	8
SOGA1	NA	2260	1755	1575	2646	2653	3551	1679	1679
ACSS2	NA	1765	2874	5272	2362	2109	2705	3549	4236
GSS	NA	419	687	947	711	705	789	1052	1197
LOC112540807	NA	5	7	18	4	4	7	7	20
MYH7B	NA	22411	15483	49266	33429	32486	37418	31887	42078
TRPC4AP	NA	655	514	755	896	712	976	716	722
